in x 4,,,,in x 0,,,,in x 3,,,,in x 2,,,,in x 1,,,,out x 4,,,,out x 0,,,,out x 3,,,,out x 2,,,,out x 1,,,
True Positive,True Negative,False Positive,False Negative,True Positive,True Negative,False Positive,False Negative,True Positive,True Negative,False Positive,False Negative,True Positive,True Negative,False Positive,False Negative,True Positive,True Negative,False Positive,False Negative,True Positive,True Negative,False Positive,False Negative,True Positive,True Negative,False Positive,False Negative,True Positive,True Negative,False Positive,False Negative,True Positive,True Negative,False Positive,False Negative,True Positive,True Negative,False Positive,False Negative
1,14,5,42,0,51,6,5,0,51,6,5,0,52,6,4,5,56,1,0,42,5,14,1,5,6,51,0,5,6,51,0,4,6,52,0,0,1,56,5
2,14,5,41,0,50,7,5,0,50,7,5,0,51,7,4,5,55,2,0,41,5,14,2,5,7,50,0,5,7,50,0,4,7,51,0,0,2,55,5
3,14,5,40,0,49,8,5,0,49,8,5,0,50,8,4,5,54,3,0,40,5,14,3,5,8,49,0,5,8,49,0,4,8,50,0,0,3,54,5
4,14,5,39,0,48,9,5,0,48,9,5,0,49,9,4,5,53,4,0,39,5,14,4,5,9,48,0,5,9,48,0,4,9,49,0,0,4,53,5
5,14,5,38,0,47,10,5,0,47,10,5,0,48,10,4,5,52,5,0,38,5,14,5,5,10,47,0,5,10,47,0,4,10,48,0,0,5,52,5
6,14,5,37,0,46,11,5,0,46,11,5,0,47,11,4,5,51,6,0,37,5,14,6,5,11,46,0,5,11,46,0,4,11,47,0,0,6,51,5
7,14,5,36,0,45,12,5,0,45,12,5,0,46,12,4,5,50,7,0,36,5,14,7,5,12,45,0,5,12,45,0,4,12,46,0,0,7,50,5
8,14,5,35,0,44,13,5,0,44,13,5,0,45,13,4,5,49,8,0,35,5,14,8,5,13,44,0,5,13,44,0,4,13,45,0,0,8,49,5
9,14,5,34,0,43,14,5,0,43,14,5,0,44,14,4,5,48,9,0,34,5,14,9,5,14,43,0,5,14,43,0,4,14,44,0,0,9,48,5
10,14,5,33,0,42,15,5,0,42,15,5,0,43,15,4,5,47,10,0,33,5,14,10,5,15,42,0,5,15,42,0,4,15,43,0,0,10,47,5
11,14,5,32,0,41,16,5,0,41,16,5,0,42,16,4,5,46,11,0,32,5,14,11,5,16,41,0,5,16,41,0,4,16,42,0,0,11,46,5
12,14,5,31,0,40,17,5,0,40,17,5,0,41,17,4,5,45,12,0,31,5,14,12,5,17,40,0,5,17,40,0,4,17,41,0,0,12,45,5
13,14,5,30,0,39,18,5,0,39,18,5,0,40,18,4,5,44,13,0,30,5,14,13,5,18,39,0,5,18,39,0,4,18,40,0,0,13,44,5
14,14,5,29,0,38,19,5,0,38,19,5,0,39,19,4,5,43,14,0,29,5,14,14,5,19,38,0,5,19,38,0,4,19,39,0,0,14,43,5
15,14,5,28,0,37,20,5,0,37,20,5,0,38,20,4,5,42,15,0,28,5,14,15,5,20,37,0,5,20,37,0,4,20,38,0,0,15,42,5
15,13,6,28,0,36,21,5,1,37,20,4,0,37,21,4,5,41,16,0,28,6,13,15,5,21,36,0,4,20,37,1,4,21,37,0,0,16,41,5
15,12,7,28,0,35,22,5,1,36,21,4,1,37,21,3,5,40,17,0,28,7,12,15,5,22,35,0,4,21,36,1,3,21,37,1,0,17,40,5
16,12,7,27,0,34,23,5,1,35,22,4,1,36,22,3,5,39,18,0,27,7,12,16,5,23,34,0,4,22,35,1,3,22,36,1,0,18,39,5
16,11,8,27,0,33,24,5,2,35,22,3,1,35,23,3,5,38,19,0,27,8,11,16,5,24,33,0,3,22,35,2,3,23,35,1,0,19,38,5
16,10,9,27,0,32,25,5,3,35,22,2,1,34,24,3,5,37,20,0,27,9,10,16,5,25,32,0,2,22,35,3,3,24,34,1,0,20,37,5
16,9,10,27,0,31,26,5,3,34,23,2,2,34,24,2,5,36,21,0,27,10,9,16,5,26,31,0,2,23,34,3,2,24,34,2,0,21,36,5
16,8,11,27,0,30,27,5,3,33,24,2,3,34,24,1,5,35,22,0,27,11,8,16,5,27,30,0,2,24,33,3,1,24,34,3,0,22,35,5
17,8,11,26,0,29,28,5,3,32,25,2,3,33,25,1,5,34,23,0,26,11,8,17,5,28,29,0,2,25,32,3,1,25,33,3,0,23,34,5
18,8,11,25,0,28,29,5,3,31,26,2,3,32,26,1,5,33,24,0,25,11,8,18,5,29,28,0,2,26,31,3,1,26,32,3,0,24,33,5
19,8,11,24,0,27,30,5,3,30,27,2,3,31,27,1,5,32,25,0,24,11,8,19,5,30,27,0,2,27,30,3,1,27,31,3,0,25,32,5