move, from, to, increased
42, 00, 01, 1643.45
49, 00, 01, 1588.50
43, 00, 01, 1538.55
57, 00, 01, 1491.60
04, 00, 01, 1434.65
44, 00, 01, 1384.70
56, 00, 01, 1327.75
16, 00, 01, 1273.80
54, 00, 01, 1219.85
08, 00, 01, 1171.90
50, 00, 01, 1115.95
51, 00, 01, 1063.00
53, 00, 01, 1009.05
24, 00, 01, 969.10
52, 00, 01, 913.15
05, 00, 01, 864.20
61, 00, 01, 809.25
13, 00, 01, 755.30
26, 00, 01, 700.35
07, 00, 01, 652.40
38, 00, 01, 598.45
34, 00, 01, 543.50
30, 00, 01, 491.55
22, 00, 01, 455.60
21, 00, 01, 398.65
06, 00, 01, 341.70
35, 00, 01, 287.75
36, 00, 01, 235.80
60, 00, 01, 185.85
46, 00, 01, 129.90
59, 00, 01, 74.95
25, 00, 01, 30.00
51, 01, 00, 26.95
09, 00, 01, 27.00
08, 01, 00, 22.95
19, 00, 01, 33.00
04, 01, 00, 13.95
04, 00, 01, 36.00
25, 01, 00, 13.95
39, 00, 01, 43.00
60, 01, 00, 10.95
28, 00, 01, 45.00
35, 01, 00, 8.95
58, 00, 01, 43.00
34, 01, 00, 9.95
40, 00, 01, 42.00
40, 01, 00, 9.95
14, 00, 01, 42.00
21, 01, 00, 13.95
60, 00, 01, 43.00
53, 01, 00, 12.95
12, 00, 01, 27.00
52, 01, 00, 27.95
34, 00, 01, 21.00
58, 01, 00, 30.95
11, 00, 01, 22.00
57, 01, 00, 33.95
25, 00, 01, 23.00
30, 01, 00, 33.95
55, 00, 01, 2.00
09, 01, 00, 48.95
30, 00, 01, 1.00
07, 01, 00, 34.95
45, 00, 01, 19.00
36, 01, 00, 35.95
18, 00, 01, 14.00
11, 01, 00, 41.95
11, 00, 01, 14.00
13, 01, 00, 41.95
36, 00, 01, 13.00
44, 01, 00, 36.95
08, 00, 01, 20.00
46, 01, 00, 35.95
40, 00, 01, 19.00
36, 01, 00, 32.95
15, 00, 01, 17.00
45, 01, 00, 34.95
53, 00, 01, 20.00
28, 01, 00, 19.95
57, 00, 01, 34.00
08, 01, 00, 22.95
62, 00, 01, 33.00
43, 01, 00, 22.95
10, 00, 01, 24.00
59, 01, 00, 28.95
02, 00, 01, 16.00
22, 01, 00, 40.95
52, 00, 01, 16.00
10, 01, 00, 32.95
23, 00, 01, 20.00
25, 01, 00, 33.95
37, 00, 01, 23.00
53, 01, 00, 32.95
01, 00, 01, 7.00
30, 01, 00, 49.95
24, 01, 00, 14.00
03, 00, 01, 41.95
11, 01, 00, 15.00
30, 00, 01, 40.95
35, 00, 01, 5.00
02, 01, 00, 46.95
31, 00, 01, 10.00
52, 01, 00, 46.95
07, 00, 01, 2.00
15, 01, 00, 51.95